currenttime,choice,l,time
08:40.4,H,6,0.03918004
08:40.5,H,6,0.010123968
08:40.5,H,6,0.009581089
08:40.5,H,6,0.030143976
08:40.6,H,6,0.061102867
08:40.7,H,6,0.015165806
08:40.7,H,6,0.025934935
08:40.7,H,6,0.011749983
08:40.8,H,6,0.018637657
08:40.8,H,6,0.022979259
08:40.9,H,6,0.010269403
08:40.9,H,6,0.009620905
08:40.9,H,6,0.008567095
08:40.9,H,6,0.008479357
08:40.9,H,6,0.008694172
08:41.0,H,6,0.011488914
08:41.0,H,6,0.035748243
08:41.1,H,6,0.022171974
08:41.1,H,6,0.025012016
08:41.2,H,6,0.010873795
08:41.2,H,6,0.024768829
08:41.3,H,6,0.031329155
08:41.3,H,6,0.012493134
08:41.3,H,6,0.0096488
08:41.3,H,6,0.009431124
08:41.4,H,6,0.008553982
08:41.4,H,6,0.009634018
08:41.4,H,6,0.008633852
08:41.4,H,6,0.029570818
08:41.5,H,6,0.025905848
08:41.5,H,6,0.027978897
08:41.6,H,6,0.026277065
08:41.6,H,6,0.010529757
08:41.7,H,7,0.011568069
08:41.7,H,7,0.014393091
08:41.7,H,7,0.010886192
08:41.8,H,7,0.027553082
08:41.8,H,7,0.010758877
08:41.8,H,7,0.010039806
08:41.8,H,7,0.010242701
08:41.9,H,7,0.009765148
08:41.9,H,7,0.056539059
08:42.0,H,7,0.037699938
08:42.1,H,7,0.029839039
08:42.1,H,7,0.012467384
08:42.1,H,7,0.012697935
08:42.1,H,7,0.021432161
08:42.2,H,7,0.021465778
08:42.2,H,7,0.020891905
08:42.3,H,7,0.012181044
08:42.3,H,7,0.01029706
08:42.3,H,7,0.009698153
08:42.3,H,7,0.009797812
08:42.4,H,7,0.00993824
08:42.4,H,7,0.029119015
08:42.4,H,7,0.026673317
08:42.5,H,7,0.031856775
08:42.6,H,7,0.03027606
08:42.6,H,7,0.011751175
08:42.6,H,7,0.035458088
08:42.7,H,7,0.037272215
08:42.7,H,7,0.011955976
08:42.8,H,7,0.01967597
08:42.8,H,7,0.012148857
