currenttime,option,lensplit,f,accuracy,timetaken
2017-07-03 09:03:15.079626,opt2,len5,0.003,0.56138415245737217,0.11744403839111328
2017-07-03 09:03:16.980462,opt3,len5,0.003,0.60030090270812442,0.04639697074890137
2017-07-03 09:03:18.906809,opt4,len5,0.003,0.59969909729187565,0.15789103507995605
2017-07-03 09:26:44.960909,opt5,split8,0.003,0.49789368104312937,756.0689709186554
2017-07-03 09:26:47.045201,opt5,split1,0.003,0.46278836509528587,89.95570993423462
2017-07-03 09:26:48.906642,opt5,split2,0.003,0.56409227683049146,165.2823040485382
2017-07-03 09:26:50.939935,opt5,split4,0.003,0.46449348044132399,392.96803879737854
2017-07-03 09:26:53.061111,opt6,0,0.003,0.60511534603811434,0
2017-07-03 09:26:54.977977,opt1,len5,0.003,0.42266800401203614,0.036489009857177734
2017-07-03 09:26:57.111580,opt2,len5,0.003,0.42868605817452354,0.10765981674194336
2017-07-03 09:26:59.258136,opt3,len5,0.003,0.58244734202607829,0.05216097831726074
2017-07-03 09:27:01.313370,opt4,len5,0.003,0.58716148445336003,0.1464691162109375
2017-07-03 09:49:21.052693,opt5,split8,0.003,0.55135406218655969,687.7672779560089
2017-07-03 09:49:23.443827,opt5,split1,0.003,0.51384152457372112,87.89016914367676
2017-07-03 09:49:25.725460,opt5,split2,0.003,0.46268806419257774,180.16600894927979
2017-07-03 09:49:27.971505,opt5,split4,0.003,0.55135406218655969,382.1177399158478
2017-07-03 09:49:30.224925,opt6,0,0.003,0.58716148445336003,0
2017-07-03 09:49:32.402562,opt1,len5,0.003,0.43831494483450351,0.03663301467895508
2017-07-03 09:49:34.438477,opt2,len5,0.003,0.44072216649949847,0.1313769817352295
2017-07-03 09:49:36.737505,opt3,len5,0.003,0.61664994984954868,0.06397700309753418
2017-07-03 09:49:38.733702,opt4,len5,0.003,0.6170511534603812,0.17635011672973633
2017-07-03 10:13:07.997288,opt5,split8,0.003,0.57542627883650954,716.6573889255524
2017-07-03 10:13:10.257231,opt5,split1,0.003,0.58375125376128389,84.55280900001526
2017-07-03 10:13:12.567857,opt5,split2,0.003,0.4896690070210632,190.36137509346008
2017-07-03 10:13:14.869758,opt5,split4,0.003,0.52457372116349044,415.91750717163086
2017-07-03 10:13:16.787900,opt6,0,0.003,0.62096288866599803,0
2017-07-03 10:13:18.796755,opt1,len5,0.003,0.58455366098294881,0.018166065216064453
2017-07-03 10:13:20.822757,opt2,len5,0.003,0.56228686058174526,0.14721894264221191
2017-07-03 10:13:22.786468,opt3,len5,0.003,0.6026078234704112,0.056733131408691406
2017-07-03 10:13:24.846174,opt4,len5,0.003,0.60190571715145436,0.18459200859069824
2017-07-03 10:37:46.877796,opt5,split8,0.003,0.55476429287863593,820.6710920333862
2017-07-03 10:37:49.079696,opt5,split1,0.003,0.52006018054162484,94.36775994300842
2017-07-03 10:37:51.414458,opt5,split2,0.003,0.60852557673019059,179.85331392288208
2017-07-03 10:37:53.541719,opt5,split4,0.003,0.57813440320962883,365.35577487945557
2017-07-03 10:37:55.465327,opt6,0,0.003,0.60190571715145436,0
2017-07-03 10:37:57.266864,opt1,len5,0.003,0.61634904714142424,0.018760204315185547
2017-07-03 10:37:59.307707,opt2,len5,0.003,0.50040120361083251,0.13577890396118164
2017-07-03 10:38:01.218512,opt3,len5,0.003,0.62146439317953861,0.022604942321777344
2017-07-03 10:38:03.253308,opt4,len5,0.003,0.62156469408224679,0.21214795112609863
2017-07-03 11:00:32.583364,opt5,split8,0.003,0.58455366098294881,724.858081817627
2017-07-03 11:00:34.947829,opt5,split1,0.003,0.58455366098294881,91.17363500595093
2017-07-03 11:00:36.809878,opt5,split2,0.003,0.58455366098294881,176.83750796318054
2017-07-03 11:00:38.877151,opt5,split4,0.003,0.58455366098294881,354.7096800804138
2017-07-03 11:00:40.922389,opt6,0,0.003,0.6232698094282848,0
2017-07-03 11:00:42.933224,opt1,len5,0.003,0.60230692076228687,0.018712997436523438
2017-07-03 11:00:45.015533,opt2,len5,0.003,0.62908726178535612,0.14945197105407715
2017-07-03 11:00:47.140257,opt3,len5,0.003,0.64202607823470415,0.049314022064208984
2017-07-03 11:00:49.247936,opt4,len5,0.003,0.64202607823470415,0.12383317947387695
2017-07-03 11:24:43.732791,opt5,split8,0.003,0.49578736208625879,800.7953979969025
2017-07-03 11:24:45.887911,opt5,split1,0.003,0.61033099297893678,83.54493713378906
2017-07-03 11:24:47.889666,opt5,split2,0.003,0.49508525576730189,173.98652005195618
2017-07-03 11:24:49.957355,opt5,split4,0.003,0.59398194583751251,374.3787019252777
2017-07-03 11:24:51.704011,opt6,0,0.003,0.64282848545636906,0
2017-07-03 11:24:53.541730,opt1,len5,0.003,0.27502507522567704,0.014928102493286133
2017-07-03 11:24:55.499250,opt2,len5,0.003,0.47141424272818455,0.13045001029968262
2017-07-03 11:24:57.416817,opt3,len5,0.003,0.62627883650952854,0.05138707160949707
2017-07-03 11:24:59.374016,opt4,len5,0.003,0.62657973921765298,0.17509007453918457
2017-07-03 11:48:42.002138,opt5,split8,0.003,0.61033099297893678,790.7660129070282
2017-07-03 11:48:44.313728,opt5,split1,0.003,0.61033099297893678,85.17856097221375
2017-07-03 11:48:46.551718,opt5,split2,0.003,0.58124373119358075,192.35903811454773
2017-07-03 11:48:48.814507,opt5,split4,0.003,0.5895687061183551,352.5068881511688
