currenttime,k,restarts,accuracy
2018-06-01 15:01:26.955614,3,3,0.951758409636386
2018-06-01 15:01:27.318357,3,2,0.1763739566446377
2018-06-01 15:01:27.683570,3,99,0.951758409636386
2018-06-01 15:01:30.521268,4,10,0.9089010989010988
2018-06-01 15:01:30.886234,4,5,0.9089010989010988
2018-06-01 15:01:31.238817,4,4,0.9089010989010988
2018-06-01 15:01:31.583342,4,3,0.9089010989010988
2018-06-01 15:01:31.933300,4,2,0.9089010989010988
2018-06-01 15:01:32.280619,4,99,0.9089010989010988
2018-06-01 15:01:35.119606,5,10,0.8748351648351648
2018-06-01 15:01:35.487305,5,5,0.8748351648351648
2018-06-01 15:01:35.875437,5,4,0.8748351648351648
2018-06-01 15:01:36.251337,5,3,0.8748351648351648
2018-06-01 15:01:36.623928,5,2,0.8748351648351648
2018-06-01 15:01:36.979007,5,99,0.8748351648351648
2018-06-01 15:01:40.256072,6,10,0.8532946812942647
2018-06-01 15:01:40.621378,6,5,0.8532946812942647
2018-06-01 15:01:40.982616,6,4,0.8532946812942647
2018-06-01 15:01:41.346138,6,3,0.8532946812942647
2018-06-01 15:01:41.732336,6,2,0.8532946812942647
2018-06-01 15:01:42.123557,6,99,0.8532946812942647
2018-06-01 15:01:45.721324,7,10,0.8216353290757089
2018-06-01 15:01:46.093921,7,5,0.8216353290757089
2018-06-01 15:01:46.472752,7,4,0.8216353290757089
2018-06-01 15:01:46.847172,7,3,0.8216353290757089
2018-06-01 15:01:47.229368,7,2,0.8216353290757089
2018-06-01 15:01:47.609208,7,99,0.8216353290757089
2018-06-01 15:01:53.874717,8,10,0.7978054106495818
2018-06-01 15:01:54.287446,8,5,0.7978054106495818
2018-06-01 15:01:54.684894,8,4,0.7978054106495818
2018-06-01 15:01:55.055714,8,3,0.7978054106495818
2018-06-01 15:01:55.429565,8,2,0.7978054106495818
2018-06-01 15:01:55.806461,8,99,0.7979152524773498
2018-06-01 15:01:58.970532,3,5,0.9515383154740468
2018-06-01 15:01:59.325355,3,4,0.9515383154740468
2018-06-01 15:01:59.662380,3,3,0.9515383154740468
2018-06-01 15:02:00.006038,3,2,0.9515383154740468
2018-06-01 15:02:00.365980,3,99,0.9515383154740468
2018-06-01 15:02:03.221430,4,10,0.9043956043956044
2018-06-01 15:02:03.591386,4,5,0.9043956043956044
2018-06-01 15:02:03.950899,4,4,0.9043956043956044
2018-06-01 15:02:04.291724,4,3,0.9043956043956044
2018-06-01 15:02:04.649037,4,2,0.9043956043956044
2018-06-01 15:02:04.987812,4,99,0.9043956043956044
2018-06-01 15:02:07.777443,5,10,0.8756043956043957
2018-06-01 15:02:08.162912,5,5,0.8756043956043957
2018-06-01 15:02:08.530241,5,4,0.8756043956043957
2018-06-01 15:02:08.891748,5,3,0.8756043956043957
2018-06-01 15:02:09.258836,5,2,0.4417582417582417
2018-06-01 15:02:09.626140,5,99,0.8756043956043957
2018-06-01 15:02:12.798263,6,10,0.8401095912604731
2018-06-01 15:02:13.166308,6,5,0.8401095912604731
2018-06-01 15:02:13.531190,6,4,0.8401095912604731
2018-06-01 15:02:13.899638,6,3,0.6094408184048512
2018-06-01 15:02:14.272239,6,2,0.6094408184048512
2018-06-01 15:02:14.651828,6,99,0.8401095912604731
2018-06-01 15:02:20.144120,7,10,0.8219731093071826
2018-06-01 15:02:20.545324,7,5,0.8219731093071826
2018-06-01 15:02:20.938424,7,4,0.8219731093071826
2018-06-01 15:02:21.326535,7,3,0.8219731093071826
