currenttime,option,variant,length,diff,time
2017-06-29 21:14:28.028594,20,1,2,1.1704838814763001,0.5163059234619141
2017-06-29 21:14:28.720699,21,1,2,1.0732867087760489,0.6918158531188965
2017-06-29 21:14:29.146410,22,1,2,1.071937044448789,0.42530083656311035
2017-06-29 21:14:29.775211,23,1,2,1.0709287997089718,0.628472089767456
2017-06-29 21:14:30.498438,24,1,2,1.0701720239168102,0.7228422164916992
2017-06-29 21:14:31.108458,25,1,2,1.1703350730461863,0.6080880165100098
2017-06-29 21:14:31.469040,26,1,2,1.1703290932795032,0.3601529598236084
2017-06-29 21:14:31.766452,27,1,2,1.1703278412617046,0.29631805419921875
2017-06-29 21:14:32.306553,28,1,2,1.1703161075998239,0.5396249294281006
2017-06-29 21:14:32.854946,29,1,2,1.0683945520640732,0.5458810329437256
2017-06-29 21:14:33.058186,30,1,2,1.0682555702412402,0.20298099517822266
2017-06-29 21:14:33.326672,31,1,2,1.0681520207417141,0.2617471218109131
2017-06-29 21:14:33.609760,32,1,2,1.068074518494817,0.28281617164611816
2017-06-29 21:14:34.188778,33,1,2,1.1703047367955106,0.5787379741668701
2017-06-29 21:14:34.482014,0,1,3,1.2586377682395857,0.2925260066986084
2017-06-29 21:14:34.574437,1,1,3,1.3384215996180817,0.09207892417907715
2017-06-29 21:14:34.712369,2,1,3,1.3253455792108511,0.1376819610595703
2017-06-29 21:14:34.902818,3,1,3,1.3073979928182928,0.19019579887390137
2017-06-29 21:14:35.089231,4,1,3,1.282332493162909,0.18612408638000488
2017-06-29 21:14:35.248099,5,1,3,1.2474036837985167,0.15855193138122559
2017-06-29 21:14:35.521749,6,1,3,1.2018105169873943,0.267672061920166
2017-06-29 21:14:35.628849,7,1,3,1.1573087588058912,0.10620498657226562
2017-06-29 21:14:35.828969,8,1,3,1.1280056763784736,0.19977378845214844
2017-06-29 21:14:36.406373,9,1,3,1.101949246063038,0.577049970626831
2017-06-29 21:14:36.633522,10,1,3,1.0674442493328309,0.2266850471496582
2017-06-29 21:14:36.861882,11,1,3,1.0166246594616697,0.22655606269836426
2017-06-29 21:14:37.204034,12,1,3,0.11483602155674162,0.3418002128601074
2017-06-29 21:14:37.807268,13,1,3,0.078125470385327647,0.6029629707336426
2017-06-29 21:14:38.060961,14,1,3,0.060170170923985765,0.2534301280975342
2017-06-29 21:14:38.268537,15,1,3,0.049979823219832055,0.20732402801513672
2017-06-29 21:14:38.483953,16,1,3,0.043689089738113709,0.21509003639221191
2017-06-29 21:14:38.737040,17,1,3,0.039596543242357542,0.2528388500213623
2017-06-29 21:14:38.955036,18,1,3,0.036828465393866978,0.21610498428344727
2017-06-29 21:14:39.632307,19,1,3,0.034905688122269664,0.6768269538879395
2017-06-29 21:14:40.033001,20,1,3,0.033548757573299351,0.3993711471557617
2017-06-29 21:14:40.439308,21,1,3,0.032575467332041141,0.4057960510253906
2017-06-29 21:14:40.784184,22,1,3,0.03187025437033205,0.3444080352783203
2017-06-29 21:14:41.261353,23,1,3,0.031356027956150952,0.47692418098449707
2017-06-29 21:14:41.757744,24,1,3,0.030977611209120955,0.4725949764251709
2017-06-29 21:14:42.129118,25,1,3,0.030698378912707359,0.3711528778076172
2017-06-29 21:14:42.583917,26,1,3,0.030491519028422086,0.45455193519592285
2017-06-29 21:14:42.861597,27,1,3,0.030337607134765163,0.27744579315185547
2017-06-29 21:14:43.132737,28,1,3,0.030223036232853148,0.27088308334350586
2017-06-29 21:14:43.380400,29,1,3,0.030137559022462783,0.24742794036865234
2017-06-29 21:14:43.702666,30,1,3,0.03007370218205541,0.32195091247558594
2017-06-29 21:14:44.020263,31,1,3,0.030025949034329018,0.3161940574645996
2017-06-29 21:14:44.265752,32,1,3,0.029990221854854403,0.24465084075927734
2017-06-29 21:14:44.576051,33,1,3,0.029963423928292442,0.30922603607177734
2017-06-29 21:14:44.861414,0,1,4,1.5304851256613028,0.28505420684814453
2017-06-29 21:14:45.028384,1,1,4,1.3384300715894342,0.16668295860290527
2017-06-29 21:14:45.122472,2,1,4,1.3254073095878545,0.09388899803161621
2017-06-29 21:14:45.244631,3,1,4,1.3074570102959719,0.12190413475036621
2017-06-29 21:14:45.347326,4,1,4,1.2824211189995176,0.10246706008911133
2017-06-29 21:14:45.508703,5,1,4,1.2476891124825706,0.16115522384643555
2017-06-29 21:14:45.702570,6,1,4,1.2021305313024557,0.19356417655944824
2017-06-29 21:14:45.918017,7,1,4,1.1572201489137881,0.21516799926757812
2017-06-29 21:14:46.187353,8,1,4,1.1281876255317673,0.26886892318725586
2017-06-29 21:14:46.294940,9,1,4,1.1049650709804497,0.10728693008422852
2017-06-29 21:14:46.453216,10,1,4,1.0791524890092083,0.157850980758667
2017-06-29 21:14:47.218874,11,1,4,0.11769795518989241,0.7645728588104248
2017-06-29 21:14:47.507881,12,1,4,0.073088392773845365,0.2885749340057373
2017-06-29 21:14:47.978603,13,1,4,0.054927430166944603,0.47035884857177734
2017-06-29 21:14:48.297576,14,1,4,0.047462183057429955,0.318389892578125
2017-06-29 21:14:49.069773,15,1,4,0.04485735986963648,0.7715029716491699
2017-06-29 21:14:49.375138,16,1,4,0.044770906324558143,0.3043200969696045
2017-06-29 21:14:50.113040,17,1,4,0.046511945326126562,0.7377099990844727
2017-06-29 21:14:50.562125,18,1,4,0.050303856636159314,0.4487268924713135
2017-06-29 21:14:51.027014,19,1,4,0.05717009140755655,0.4646148681640625
2017-06-29 21:14:51.442763,20,1,4,0.069030806892118754,0.41550612449645996
2017-06-29 21:14:52.071990,21,1,4,0.089419766315184418,0.6106860637664795
2017-06-29 21:14:52.845717,22,1,4,0.12566693166697543,0.7734460830688477
2017-06-29 21:14:53.376961,23,1,4,0.19912238950702243,0.5309340953826904
2017-06-29 21:14:54.353037,24,1,4,0.4441496353707623,0.9758119583129883
2017-06-29 21:14:55.005204,25,1,4,0.776891996096857,0.6518950462341309
2017-06-29 21:14:55.510432,26,1,4,0.91690058009212316,0.5048389434814453
2017-06-29 21:14:56.016682,27,1,4,0.99861911501091449,0.5044479370117188
2017-06-29 21:14:56.608694,28,1,4,1.052287755381361,0.5731961727142334
2017-06-29 21:14:57.276428,29,1,4,1.0894264239821001,0.667382001876831
2017-06-29 21:14:57.959309,30,1,4,1.1158582101802155,0.6812229156494141
2017-06-29 21:14:58.589599,31,1,4,1.1349880406870412,0.6300489902496338
2017-06-29 21:14:59.158009,32,1,4,1.1489829325478396,0.5681478977203369
2017-06-29 21:14:59.918153,33,1,4,1.1592954556003257,0.7599010467529297
2017-06-29 21:15:00.266370,0,1,5,1.3533392724388706,0.34792017936706543
2017-06-29 21:15:00.466540,1,1,5,1.3384026893335552,0.19974923133850098
2017-06-29 21:15:00.631872,2,1,5,1.3253354676015019,0.16190314292907715
2017-06-29 21:15:00.889831,3,1,5,1.3072320711028813,0.2574799060821533
2017-06-29 21:15:01.043635,4,1,5,1.281947225729088,0.15343499183654785
2017-06-29 21:15:01.206209,5,1,5,1.2464172475856861,0.1621849536895752
2017-06-29 21:15:01.307869,6,1,5,1.1993797217586697,0.1013789176940918
2017-06-29 21:15:01.436686,7,1,5,1.1516270629170613,0.12852907180786133
2017-06-29 21:15:01.680473,8,1,5,1.1171978321389378,0.24350380897521973
2017-06-29 21:15:01.798445,9,1,5,1.0810384144436014,0.11770987510681152
2017-06-29 21:15:02.107864,10,1,5,1.0318671104621477,0.30903100967407227
2017-06-29 21:15:02.350443,11,1,5,0.071471517785767685,0.2417280673980713
2017-06-29 21:15:02.682031,12,1,5,0.045341141885588895,0.331387996673584
2017-06-29 21:15:02.822062,13,1,5,0.036561773298843497,0.1398019790649414
2017-06-29 21:15:03.005570,14,1,5,0.033601401397330685,0.183333158493042
2017-06-29 21:15:03.261594,15,1,5,0.032436028469083354,0.2558269500732422
2017-06-29 21:15:03.484546,16,1,5,0.03185313396964437,0.22263097763061523
2017-06-29 21:15:03.725954,17,1,5,0.031488272846130455,0.2411198616027832
2017-06-29 21:15:03.922872,18,1,5,0.031224102113926226,0.19666504859924316
2017-06-29 21:15:04.230144,19,1,5,0.031018492176025154,0.3067629337310791
2017-06-29 21:15:04.450188,20,1,5,0.030855552098061213,0.21981000900268555
