currenttime,method,f,accuracy,precision,recall
2018-04-27 13:29:09.267359,GS,0.009000000000000001,0.66655645591362889,0.66658659458842007,0.66664687193800287
2018-04-27 13:29:09.701109,Holdout,0.002260697788358622,0.45053648074981717,0.50442082977280145,0.55834352816594046
2018-04-27 13:29:10.187893,DCEr,0.014264038732150021,0.66552444923097054,0.66555474932034975,0.66561534949910828
2018-04-27 13:29:12.698708,GS,0.00567861610032174,0.66656668869163027,0.66659672659408331,0.66665680239898994
2018-04-27 13:29:12.791101,LCE,0.009000000000000001,0.6704153410111805,0.67044547968597179,0.67050575703555459
2018-04-27 13:29:15.210067,Holdout,0.00022606977883586222,0.45015096303882757,0.5025997755640037,0.55992777598193966
2018-04-27 13:29:16.297257,LCE,0.00567861610032174,0.67435247792546937,0.67438251582792252,0.67444259163282894
2018-04-27 13:29:17.163895,MCE,0.009000000000000001,0.66919370052252436,0.66922383919731565,0.66928411654689846
2018-04-27 13:29:18.626355,GS,0.0035829645349814755,0.66653736697728116,0.66656734209317292,0.66662729232495643
2018-04-27 13:29:20.351161,MCE,0.00567861610032174,0.66607278648426727,0.66610282438672042,0.66616290019162694
2018-04-27 13:29:21.496833,DCE,0.009000000000000001,0.66729658376072953,0.66732672243552082,0.66738699978510363
2018-04-27 13:29:22.460192,LCE,0.0035829645349814755,0.6739697965890098,0.67399977170490166,0.67405972193668517
2018-04-27 13:29:23.367251,Holdout,0.0009000000000000001,0.48974569946166918,0.52611111815489664,0.56257252418985748
2018-04-27 13:29:23.411813,DCE,0.00567861610032174,0.67313466303333291,0.67316470093578606,0.67322477674069259
2018-04-27 13:29:25.810839,DCEr,0.009000000000000001,0.66729658376072953,0.66732672243552082,0.66738699978510363
2018-04-27 13:29:25.811823,MCE,0.0035829645349814755,0.6739697965890098,0.67399977170490166,0.67405972193668517
2018-04-27 13:29:26.050219,DCEr,0.00567861610032174,0.67313466303333291,0.67316470093578606,0.67322477674069259
2018-04-27 13:29:26.646334,Holdout,0.00035829645349814754,0.37032931724152079,0.42384055079837202,0.47771117326604196
2018-04-27 13:29:27.215091,GS,0.002260697788358622,0.66644494189194969,0.66684048929922157,0.66726597207406479
2018-04-27 13:29:29.301279,DCE,0.0035829645349814755,0.6739697965890098,0.67399977170490166,0.67405972193668517
2018-04-27 13:29:30.277788,LCE,0.002260697788358622,0.66796601467236094,0.66799595003993251,0.66805582077507586
2018-04-27 13:29:30.896764,Holdout,0.0001426403873215002,0.3365947484705209,0.39108978661557692,0.44797031841684237
2018-04-27 13:29:31.127035,GS,0.0014264038732150022,0.66650963832048105,0.66654795548132706,0.66662458980301942
2018-04-27 13:29:32.194542,DCEr,0.0035829645349814755,0.6739697965890098,0.67399977170490166,0.67405972193668517
2018-04-27 13:29:34.131816,GS,0.0009000000000000001,0.66636258948298366,0.66640088673587439,0.66647748124165573
2018-04-27 13:29:34.842534,MCE,0.002260697788358622,0.66796601467236094,0.66799595003993251,0.66805582077507586
2018-04-27 13:29:36.185771,LCE,0.0014264038732150022,0.46002864647419622,0.46011110038329894,0.46023187145324779
2018-04-27 13:29:37.333850,Holdout,0.0014264038732150022,0.52774986593645845,0.536736516512203,0.54576148424879367
2018-04-27 13:29:37.994838,LCE,0.0009000000000000001,0.43532516992773768,0.43539988534246277,0.43551289801007842
2018-04-27 13:29:39.115768,DCE,0.002260697788358622,0.66796601467236094,0.66799595003993251,0.66805582077507586
2018-04-27 13:29:40.880292,MCE,0.0009000000000000001,0.43633347584775378,0.43640819126247887,0.43652120393009458
2018-04-27 13:29:41.008717,MCE,0.0014264038732150022,0.46064656094978856,0.46071640435938949,0.46082456492983637
2018-04-27 13:29:41.573929,GS,0.0005678616100321739,0.6663782067997428,0.66649208807084459,0.66664425339502564
2018-04-27 13:29:43.376202,DCEr,0.002260697788358622,0.6679407726646116,0.66798332903605795,0.66805582077507586
2018-04-27 13:29:43.781969,DCE,0.0009000000000000001,0.4824555333116442,0.48498169249440853,0.48754614893006343
2018-04-27 13:29:45.547928,DCE,0.0014264038732150022,0.4719426545294349,0.47279076369857503,0.47367719002856107
2018-04-27 13:29:45.641468,LCE,0.0005678616100321739,0.0,0.33333333333333326,1.0
2018-04-27 13:29:47.650701,DCEr,0.0009000000000000001,0.66486453114739374,0.66490282840028458,0.66497942290606582
2018-04-27 13:29:49.617769,MCE,0.0005678616100321739,0.0,0.33333333333333326,1.0
2018-04-27 13:29:50.059053,DCEr,0.0014264038732150022,0.66605566033841324,0.66609397749925925,0.66617061182095161
2018-04-27 13:29:52.011377,DCE,0.0005678616100321739,0.0,0.33333333333333326,1.0
2018-04-27 13:29:54.610977,DCEr,0.0005678616100321739,0.66668987196597873,0.66673445578722657,0.66681732366155388
2018-04-27 13:30:26.987218,Holdout,0.00567861610032174,0.53694224753386888,0.53784592624574579,0.53878808563285119
2018-04-27 13:30:28.222689,Holdout,0.0035829645349814755,0.5234807249643475,0.52585052045299496,0.5282502910575344
2018-04-27 13:30:31.296139,GS,0.00035829645349814754,0.66651683466442824,0.66711156393810589,0.66804141708566911
2018-04-27 13:30:32.668050,GS,0.00022606977883586222,0.66639089934743068,0.66707785205967918,0.66839647119875456
2018-04-27 13:30:35.368631,LCE,0.00035829645349814754,0.0,0.33333333333333326,1.0
2018-04-27 13:30:36.978646,LCE,0.00022606977883586222,0.0,0.33333333333333326,1.0
2018-04-27 13:30:39.435839,MCE,0.00035829645349814754,0.0,0.33333333333333326,1.0
2018-04-27 13:30:41.259703,MCE,0.00022606977883586222,0.0,0.33333333333333326,1.0
2018-04-27 13:30:43.553503,DCE,0.00035829645349814754,0.0,0.33333333333333326,1.0
2018-04-27 13:30:45.520002,DCE,0.00022606977883586222,0.0,0.33333333333333326,1.0
2018-04-27 13:30:47.921213,DCEr,0.00035829645349814754,0.66667959493733953,0.66727642365760309,0.6682041773585804
2018-04-27 13:30:50.239201,DCEr,0.00022606977883586222,0.66650147191827458,0.66717036525502937,0.66839647119875456
2018-04-27 13:31:37.492654,Holdout,0.009000000000000001,0.53315918198076817,0.53330199397398681,0.53347494464199696
2018-04-27 13:31:40.678220,GS,0.0001426403873215002,0.66546172723120156,0.66789382916458584,0.67099117799688646
2018-04-27 13:31:44.047996,LCE,0.0001426403873215002,0.0,0.33333333333333326,1.0
2018-04-27 13:31:47.187832,MCE,0.0001426403873215002,0.0,0.33333333333333326,1.0
2018-04-27 13:31:51.076314,DCE,0.0001426403873215002,0.0,0.33333333333333326,1.0
2018-04-27 13:31:56.297387,DCEr,0.0001426403873215002,0.66633775900290626,0.66703449165137219,0.66839647119875456
2018-04-27 13:32:41.269113,Holdout,0.0005678616100321739,0.3711050128906222,0.42104806130420419,0.47132956714816138
2018-04-27 13:32:43.934496,GS,9e-05,0.66461939078394761,0.67083455010334614,0.67997067472651607
2018-04-27 13:32:47.622870,LCE,9e-05,0.0,0.33333333333333326,1.0
2018-04-27 13:32:49.369318,Holdout,0.0009000000000000001,0.46896103299251674,0.5010249013514777,0.53313361176577445
2018-04-27 13:32:52.210864,MCE,9e-05,0.0,0.33333333333333326,1.0
2018-04-27 13:32:55.969494,DCE,9e-05,0.0,0.33333333333333326,1.0
2018-04-27 13:33:00.401885,DCEr,9e-05,0.66305533043954334,0.66923564905780497,0.67833273519710702
2018-04-27 13:33:03.531762,Holdout,0.0014264038732150022,0.54481020784751788,0.55238911104458055,0.56001053490232333
2018-04-27 13:33:20.248244,Holdout,0.022606977883586222,0.52474117400851628,0.52476409247423073,0.5248099294056594
2018-04-27 13:33:25.458910,Holdout,0.002260697788358622,0.55407543081545618,0.5547457131276643,0.5554543448100272
2018-04-27 13:33:29.151261,Holdout,0.009000000000000001,0.52842560337650413,0.5284875086556996,0.52857955260968648
2018-04-27 13:33:32.215551,Holdout,0.0035829645349814755,0.54502148475879775,0.54641041308973359,0.54782931653656097
2018-04-27 13:33:44.274595,Holdout,0.00022606977883586222,0.33431418423581333,0.38828374878032634,0.44291856708923977
2018-04-27 13:33:46.226186,Holdout,0.00035829645349814754,0.42384185812507164,0.47668929930136605,0.53034925231287755
2018-04-27 13:33:59.814509,Holdout,0.00567861610032174,0.54966186244874682,0.54972356074910789,0.54981529695192222
