currenttime,option,k,f,accuracy
2018-02-26 10:40:15.286032,opt5,3,0.01,0.69434343434343437
2018-02-26 10:40:41.236628,opt6,3,0.01,0.61989898989898995
2018-02-26 10:40:41.670451,opt1,3,0.01,0.73070707070707075
2018-02-26 10:40:42.173051,opt2,3,0.01,0.69515151515151519
2018-02-26 10:40:42.686056,opt3,3,0.01,0.71171717171717175
2018-02-26 10:40:43.065881,opt4,3,0.01,0.62838383838383838
2018-02-26 10:40:43.921626,opt5,3,0.01,0.72828282828282831
2018-02-26 10:41:12.252328,opt6,3,0.01,0.69030303030303031
2018-02-26 10:41:12.825882,opt1,3,0.01,0.72393939393939399
2018-02-26 10:41:13.427990,opt2,3,0.01,0.59909090909090912
2018-02-26 10:41:13.836418,opt3,3,0.01,0.56797979797979803
2018-02-26 10:41:14.309348,opt4,3,0.01,0.0
2018-02-26 10:41:15.370286,opt5,3,0.01,0.7218181818181818
2018-02-26 10:41:41.332687,opt6,3,0.01,0.66000000000000003
2018-02-26 10:41:41.639377,opt1,3,0.01,0.71020202020202017
2018-02-26 10:41:42.031367,opt2,3,0.01,0.69232323232323234
2018-02-26 10:41:42.341850,opt3,3,0.01,0.68848484848484848
2018-02-26 10:41:42.730230,opt4,3,0.01,0.7088888888888889
2018-02-26 10:41:44.006230,opt5,3,0.01,0.71010101010101012
2018-02-26 10:42:11.321788,opt6,3,0.01,0.58565656565656565
2018-02-26 10:42:11.671182,opt1,3,0.01,0.71707070707070708
2018-02-26 10:42:12.109085,opt2,3,0.01,0.69232323232323234
2018-02-26 10:42:12.457784,opt3,3,0.01,0.69272727272727275
2018-02-26 10:42:12.875581,opt4,3,0.01,0.71252525252525256
2018-02-26 10:42:13.779528,opt5,3,0.01,0.71505050505050505
2018-02-26 10:42:43.957129,opt6,3,0.01,0.67555555555555558
2018-02-26 10:42:44.453467,opt1,3,0.01,0.71303030303030301
2018-02-26 10:42:45.087089,opt2,3,0.01,0.68595959595959599
2018-02-26 10:42:45.488908,opt3,3,0.01,0.68414141414141416
2018-02-26 10:42:45.890407,opt4,3,0.01,0.70808080808080809
2018-02-26 10:42:46.719988,opt5,3,0.01,0.70767676767676768
2018-02-26 10:43:11.295897,opt6,3,0.01,0.68141414141414136
2018-02-26 10:43:11.816076,opt1,3,0.01,0.71878787878787875
2018-02-26 10:43:12.521285,opt2,3,0.01,0.70212121212121215
2018-02-26 10:43:12.984974,opt3,3,0.01,0.70717171717171712
2018-02-26 10:43:13.768152,opt4,3,0.01,0.71363636363636362
2018-02-26 10:43:14.840740,opt5,3,0.01,0.71282828282828281
2018-02-26 10:43:43.196748,opt6,3,0.01,0.70919191919191915
2018-02-26 10:43:43.822430,opt1,3,0.01,0.72363636363636363
2018-02-26 10:43:44.612606,opt2,3,0.01,0.63444444444444448
2018-02-26 10:43:45.238239,opt3,3,0.01,0.64191919191919189
2018-02-26 10:43:45.818659,opt4,3,0.01,0.65171717171717169
2018-02-26 10:43:46.990919,opt5,3,0.01,0.72212121212121216
2018-02-26 10:44:13.461721,opt6,3,0.01,0.63838383838383839
2018-02-26 10:44:13.866424,opt1,3,0.01,0.73353535353535348
2018-02-26 10:44:14.308709,opt2,3,0.01,0.7147474747474748
2018-02-26 10:44:14.649138,opt3,3,0.01,0.71171717171717175
2018-02-26 10:44:15.015889,opt4,3,0.01,0.70323232323232321
2018-02-26 10:44:15.796142,opt5,3,0.01,0.7312121212121212
2018-02-26 10:44:44.061570,opt6,3,0.01,0.70757575757575752
2018-02-26 10:44:44.576689,opt1,3,0.01,0.70959595959595956
2018-02-26 10:44:45.252156,opt2,3,0.01,0.55646464646464644
2018-02-26 10:44:45.887044,opt3,3,0.01,0.54949494949494948
