currenttime,choice,l,valueH,valueM
2020-03-03 23:07:03.772416,Hrow,1,0.6064814814814814,221.11111111111111
2020-03-03 23:07:03.772785,Hrow,2,0.6230217345431526,6419.111111111111
2020-03-03 23:07:03.774758,Hrow,3,0.40912560589290486,89188.22222222222
2020-03-03 23:07:03.775176,Hrow,4,0.3837289549215174,1854150.7777777778
2020-03-03 23:07:03.775675,Hrow,5,0.35985367903747,35581927.55555555
2020-03-03 23:07:03.775854,Hrow,6,0.3364980307162613,714798830.4444444
2020-03-03 23:07:03.776028,Hrow,7,0.3473225218221963,14224879363.11111
2020-03-03 23:07:03.776181,Hrow,8,0.3275227436493035,284659013384.7778
2020-03-03 23:07:03.776385,HrowEC,1,0.6064814814814814,221.11111111111111
2020-03-03 23:07:03.776541,HrowEC,2,0.4263005780346821,4196.888888888889
2020-03-03 23:07:03.776725,HrowEC,3,0.3880499292457812,80564.0
2020-03-03 23:07:03.776977,HrowEC,4,0.34178288539491186,1524059.3333333333
2020-03-03 23:07:03.777202,HrowEC,5,0.35023190423236505,28962226.666666668
2020-03-03 23:07:03.777360,HrowEC,6,0.32772380643912796,550265496.0
2020-03-03 23:07:03.777515,HrowEC,7,0.3442050722920463,10455349450.666666
2020-03-03 23:07:03.777730,HrowEC,8,0.3254580710773457,198652287696.66666
2020-03-03 23:07:05.040752,Hrow,1,0.5679012345679012,233.77777777777777
2020-03-03 23:07:05.042254,Hrow,2,0.6245525727069351,6420.0
2020-03-03 23:07:05.042716,Hrow,3,0.37957133875062676,89376.44444444444
2020-03-03 23:07:05.043019,Hrow,4,0.3739710274610566,1854046.888888889
2020-03-03 23:07:05.043228,Hrow,5,0.3326093529029542,35578153.11111111
2020-03-03 23:07:05.043411,Hrow,6,0.325658157768476,714767391.2222222
2020-03-03 23:07:05.043588,Hrow,7,0.320943854554735,14223403888.222221
2020-03-03 23:07:05.043769,Hrow,8,0.31657859918287246,284640297280.44446
2020-03-03 23:07:05.043944,HrowEC,1,0.5679012345679012,233.77777777777777
2020-03-03 23:07:05.044113,HrowEC,2,0.4212432106216053,4197.777777777777
2020-03-03 23:07:05.044319,HrowEC,3,0.35850809662861693,80259.11111111111
2020-03-03 23:07:05.044486,HrowEC,4,0.3308926581323287,1523910.4444444445
2020-03-03 23:07:05.044671,HrowEC,5,0.32358851302047326,28958256.888888888
2020-03-03 23:07:05.044835,HrowEC,6,0.31675018684909095,550248418.6666666
2020-03-03 23:07:05.045024,HrowEC,7,0.31806637380538166,10454684266.444445
2020-03-03 23:07:05.045288,HrowEC,8,0.3144978901858285,198637991136.66666
2020-03-03 23:07:06.267797,Hrow,1,0.5994436717663422,226.66666666666666
2020-03-03 23:07:06.268159,Hrow,2,0.6443385785092152,6441.555555555556
2020-03-03 23:07:06.269963,Hrow,3,0.3840663859406381,89021.11111111111
2020-03-03 23:07:06.270299,Hrow,4,0.413277153970172,1855625.4444444445
2020-03-03 23:07:06.270757,Hrow,5,0.33485733155634695,35556821.55555555
2020-03-03 23:07:06.271057,Hrow,6,0.3666066647396913,714908741.3333334
2020-03-03 23:07:06.271220,Hrow,7,0.3229644640138089,14222471196.222221
2020-03-03 23:07:06.271374,Hrow,8,0.3575598272560328,284663776380.55554
2020-03-03 23:07:06.271623,HrowEC,1,0.5994436717663422,226.66666666666666
2020-03-03 23:07:06.271803,HrowEC,2,0.45976171332504934,4219.333333333333
2020-03-03 23:07:06.271992,HrowEC,3,0.36040772195932186,80181.11111111111
2020-03-03 23:07:06.272145,HrowEC,4,0.372444056458985,1524236.888888889
2020-03-03 23:07:06.272327,HrowEC,5,0.32555254904635167,28956232.888888888
2020-03-03 23:07:06.272590,HrowEC,6,0.3578146405807556,550284670.0
2020-03-03 23:07:06.272740,HrowEC,7,0.320058469141484,10455070176.666666
2020-03-03 23:07:06.272939,HrowEC,8,0.3554559195429972,198649170289.1111
2020-03-03 23:07:07.365570,Hrow,1,0.6021671826625388,209.55555555555554
2020-03-03 23:07:07.365927,Hrow,2,0.6347377833885646,6438.666666666667
2020-03-03 23:07:07.367758,Hrow,3,0.40466071976920076,88473.33333333333
2020-03-03 23:07:07.368136,Hrow,4,0.3907339583890642,1855817.111111111
2020-03-03 23:07:07.368557,Hrow,5,0.35623669997369234,35547038.222222224
2020-03-03 23:07:07.368773,Hrow,6,0.3427475498374295,715059628.4444444
2020-03-03 23:07:07.369020,Hrow,7,0.3441192711835147,14225703647.333334
2020-03-03 23:07:07.369224,Hrow,8,0.3336025222221065,284733954666.2222
2020-03-03 23:07:07.369402,HrowEC,1,0.6021671826625388,209.55555555555554
2020-03-03 23:07:07.369559,HrowEC,2,0.4395480225988701,4216.222222222223
2020-03-03 23:07:07.369810,HrowEC,3,0.38379579176796047,80299.33333333333
2020-03-03 23:07:07.370144,HrowEC,4,0.34835164326931184,1524570.2222222222
