currenttime,option,k,f,time
2018-02-28 14:23:15.798616,opt4,3,0.01,0.06219291687011719
2018-02-28 14:23:16.252577,opt5,3,0.01,0.4528238773345947
2018-02-28 14:23:37.709022,opt6,3,0.01,21.455157995224
2018-02-28 14:23:37.886596,opt2,3,0.01,0.17384886741638184
2018-02-28 14:23:37.925914,opt3,3,0.01,0.038184165954589844
2018-02-28 14:23:37.980823,opt4,3,0.01,0.053811073303222656
2018-02-28 14:23:38.483121,opt5,3,0.01,0.5012819766998291
2018-02-28 14:23:57.425390,opt6,3,0.01,18.94114899635315
2018-02-28 14:23:57.612191,opt2,3,0.01,0.18343591690063477
2018-02-28 14:23:57.650153,opt3,3,0.01,0.03679800033569336
2018-02-28 14:23:57.708415,opt4,3,0.01,0.05727791786193848
2018-02-28 14:23:58.303800,opt5,3,0.01,0.594243049621582
2018-02-28 14:24:17.439828,opt6,3,0.01,19.1347599029541
2018-02-28 14:24:17.753457,opt2,3,0.01,0.3073089122772217
2018-02-28 14:24:17.787499,opt3,3,0.01,0.03280305862426758
2018-02-28 14:24:17.866647,opt4,3,0.01,0.07805013656616211
2018-02-28 14:24:18.273831,opt5,3,0.01,0.40602588653564453
2018-02-28 14:24:39.344703,opt6,3,0.01,21.069603204727173
2018-02-28 14:24:39.517836,opt2,3,0.01,0.1690540313720703
2018-02-28 14:24:39.552697,opt3,3,0.01,0.03367304801940918
2018-02-28 14:24:39.640948,opt4,3,0.01,0.08710980415344238
2018-02-28 14:24:40.089866,opt5,3,0.01,0.447969913482666
2018-02-28 14:24:59.602896,opt6,3,0.01,19.5119469165802
2018-02-28 14:24:59.789411,opt2,3,0.01,0.1830449104309082
2018-02-28 14:24:59.821892,opt3,3,0.01,0.031219005584716797
2018-02-28 14:24:59.879312,opt4,3,0.01,0.05631589889526367
2018-02-28 14:25:00.283762,opt5,3,0.01,0.4033620357513428
2018-02-28 14:25:17.461564,opt6,3,0.01,17.176408052444458
2018-02-28 14:25:17.667194,opt2,3,0.01,0.20184588432312012
2018-02-28 14:25:17.700569,opt3,3,0.01,0.03222990036010742
2018-02-28 14:25:17.772238,opt4,3,0.01,0.07055401802062988
2018-02-28 14:25:18.259776,opt5,3,0.01,0.48659706115722656
2018-02-28 14:25:40.614778,opt6,3,0.01,22.353804111480713
2018-02-28 14:25:40.815733,opt2,3,0.01,0.19720816612243652
2018-02-28 14:25:40.848545,opt3,3,0.01,0.031890869140625
2018-02-28 14:25:40.912969,opt4,3,0.01,0.06358885765075684
2018-02-28 14:25:41.456198,opt5,3,0.01,0.5423281192779541
2018-02-28 14:26:00.626392,opt6,3,0.01,19.16920518875122
2018-02-28 14:26:00.836302,opt2,3,0.01,0.20627498626708984
2018-02-28 14:26:00.874559,opt3,3,0.01,0.03713488578796387
2018-02-28 14:26:00.971266,opt4,3,0.01,0.09574317932128906
2018-02-28 14:26:01.442138,opt5,3,0.01,0.4694981575012207
2018-02-28 14:26:18.640515,opt6,3,0.01,17.19720196723938
2018-02-28 14:26:18.821966,opt2,3,0.01,0.17784404754638672
2018-02-28 14:26:18.855158,opt3,3,0.01,0.032269954681396484
2018-02-28 14:26:18.939023,opt4,3,0.01,0.08280420303344727
2018-02-28 14:26:19.407439,opt5,3,0.01,0.4674670696258545
2018-02-28 14:26:38.452957,opt6,3,0.01,19.044363975524902
2018-02-28 14:26:38.636837,opt2,3,0.01,0.18009209632873535
2018-02-28 14:26:38.725794,opt3,3,0.01,0.08789300918579102
2018-02-28 14:26:38.801729,opt4,3,0.01,0.0749669075012207
2018-02-28 14:26:39.380215,opt5,3,0.01,0.5775070190429688
2018-02-28 14:27:01.345327,opt6,3,0.01,21.964021921157837
2018-02-28 14:27:01.563790,opt2,3,0.01,0.21484684944152832
2018-02-28 14:27:01.599118,opt3,3,0.01,0.03427886962890625
2018-02-28 14:27:01.652246,opt4,3,0.01,0.0522310733795166
2018-02-28 14:27:02.060491,opt5,3,0.01,0.40733909606933594
2018-02-28 14:27:22.270081,opt6,3,0.01,20.20860004425049
2018-02-28 14:27:22.518184,opt2,3,0.01,0.24426817893981934
2018-02-28 14:27:22.558923,opt3,3,0.01,0.039617061614990234
2018-02-28 14:27:22.641270,opt4,3,0.01,0.08120894432067871
2018-02-28 14:27:23.121974,opt5,3,0.01,0.47963809967041016
2018-02-28 14:27:43.490885,opt6,3,0.01,20.36769700050354
2018-02-28 14:27:43.668772,opt2,3,0.01,0.174360990524292
2018-02-28 14:27:43.702194,opt3,3,0.01,0.0321199893951416
2018-02-28 14:27:43.769429,opt4,3,0.01,0.06615400314331055
2018-02-28 14:27:44.260010,opt5,3,0.01,0.4894897937774658
2018-02-28 14:28:03.075107,opt6,3,0.01,18.813668966293335
2018-02-28 14:28:03.257848,opt2,3,0.01,0.1785869598388672
2018-02-28 14:28:03.300557,opt3,3,0.01,0.04139900207519531
2018-02-28 14:28:03.375762,opt4,3,0.01,0.07401800155639648
2018-02-28 14:28:03.870009,opt5,3,0.01,0.4929051399230957
2018-02-28 14:28:30.114578,opt6,3,0.01,26.243462085723877
2018-02-28 14:28:30.482342,opt2,3,0.01,0.36205387115478516
2018-02-28 14:28:30.567562,opt3,3,0.01,0.0839848518371582
2018-02-28 14:28:30.688746,opt4,3,0.01,0.1199641227722168
2018-02-28 14:28:31.323205,opt5,3,0.01,0.6333208084106445
2018-02-28 14:28:52.235314,opt6,3,0.01,20.910881996154785
2018-02-28 14:28:52.389837,opt2,3,0.01,0.15093183517456055
2018-02-28 14:28:52.424914,opt3,3,0.01,0.03391098976135254
2018-02-28 14:28:52.512023,opt4,3,0.01,0.0861060619354248
2018-02-28 14:28:53.033632,opt5,3,0.01,0.5204689502716064
2018-02-28 14:29:13.971841,opt6,3,0.01,20.936830043792725
2018-02-28 14:29:14.147818,opt2,3,0.01,0.17225885391235352
2018-02-28 14:29:14.182282,opt3,3,0.01,0.03327512741088867
2018-02-28 14:29:14.270559,opt4,3,0.01,0.08726692199707031
2018-02-28 14:29:14.704187,opt5,3,0.01,0.4324641227722168
2018-02-28 14:29:35.848218,opt6,3,0.01,21.142791986465454
2018-02-28 14:29:36.133354,opt2,3,0.01,0.2779700756072998
2018-02-28 14:29:36.176258,opt3,3,0.01,0.041760921478271484
2018-02-28 14:29:36.289483,opt4,3,0.01,0.11216187477111816
2018-02-28 14:29:36.818886,opt5,3,0.01,0.528156042098999
2018-02-28 14:30:01.961452,opt6,3,0.01,25.14128589630127
2018-02-28 14:30:06.954544,opt2,4,0.01,0.2029128074645996
2018-02-28 14:30:06.994318,opt3,4,0.01,0.03861808776855469
2018-02-28 14:30:07.149098,opt4,4,0.01,0.1536240577697754
2018-02-28 14:30:07.951521,opt5,4,0.01,0.8012919425964355
2018-02-28 14:30:41.314251,opt6,4,0.01,33.36148285865784
2018-02-28 14:30:41.631235,opt2,4,0.01,0.3119511604309082
2018-02-28 14:30:41.677530,opt3,4,0.01,0.045172929763793945
2018-02-28 14:30:41.798458,opt4,4,0.01,0.12000799179077148
2018-02-28 14:30:42.545246,opt5,4,0.01,0.7459640502929688
2018-02-28 14:31:21.370403,opt6,4,0.01,38.824057817459106
2018-02-28 14:31:21.683128,opt2,4,0.01,0.30873608589172363
2018-02-28 14:31:21.725544,opt3,4,0.01,0.04135704040527344
2018-02-28 14:31:21.781246,opt4,4,0.01,0.05458688735961914
2018-02-28 14:31:22.511123,opt5,4,0.01,0.7288751602172852
2018-02-28 14:31:55.505811,opt6,4,0.01,32.99352502822876
2018-02-28 14:31:55.789699,opt2,4,0.01,0.27944302558898926
2018-02-28 14:31:55.895867,opt3,4,0.01,0.10493206977844238
2018-02-28 14:31:56.001651,opt4,4,0.01,0.10464215278625488
2018-02-28 14:31:56.778310,opt5,4,0.01,0.7755019664764404
2018-02-28 14:32:29.797740,opt6,4,0.01,33.01834583282471
2018-02-28 14:32:30.059288,opt2,4,0.01,0.2580130100250244
2018-02-28 14:32:30.102229,opt3,4,0.01,0.041879892349243164
2018-02-28 14:32:30.197654,opt4,4,0.01,0.09425806999206543
2018-02-28 14:32:30.921328,opt5,4,0.01,0.7224149703979492
2018-02-28 14:32:58.389339,opt6,4,0.01,27.46680212020874
2018-02-28 14:32:58.616584,opt2,4,0.01,0.22319293022155762
2018-02-28 14:32:58.660178,opt3,4,0.01,0.04249095916748047
2018-02-28 14:32:58.773129,opt4,4,0.01,0.11183714866638184
2018-02-28 14:32:59.488920,opt5,4,0.01,0.7144961357116699
2018-02-28 14:33:48.694135,opt6,4,0.01,49.2040011882782
2018-02-28 14:33:49.011757,opt2,4,0.01,0.31399989128112793
2018-02-28 14:33:49.054902,opt3,4,0.01,0.042160987854003906
2018-02-28 14:33:49.167751,opt4,4,0.01,0.11175298690795898
2018-02-28 14:33:49.886011,opt5,4,0.01,0.7172760963439941
2018-02-28 14:34:25.365910,opt6,4,0.01,35.47864580154419
2018-02-28 14:34:25.580185,opt2,4,0.01,0.21014904975891113
2018-02-28 14:34:25.622388,opt3,4,0.01,0.04110002517700195
2018-02-28 14:34:25.787319,opt4,4,0.01,0.16399097442626953
2018-02-28 14:34:26.520553,opt5,4,0.01,0.7322220802307129
2018-02-28 14:35:03.194544,opt6,4,0.01,36.672821044921875
2018-02-28 14:35:03.414682,opt2,4,0.01,0.21648907661437988
2018-02-28 14:35:03.457268,opt3,4,0.01,0.04130101203918457
2018-02-28 14:35:03.551292,opt4,4,0.01,0.09296393394470215
2018-02-28 14:35:04.288075,opt5,4,0.01,0.735565185546875
2018-02-28 14:35:32.313833,opt6,4,0.01,28.0246000289917
2018-02-28 14:35:32.533896,opt2,4,0.01,0.2159409523010254
2018-02-28 14:35:32.581210,opt3,4,0.01,0.046219825744628906
2018-02-28 14:35:32.653065,opt4,4,0.01,0.07083797454833984
2018-02-28 14:35:33.310665,opt5,4,0.01,0.6565630435943604
2018-02-28 14:36:08.195364,opt6,4,0.01,34.883561849594116
2018-02-28 14:36:08.429756,opt2,4,0.01,0.23064112663269043
2018-02-28 14:36:08.470172,opt3,4,0.01,0.039263010025024414
2018-02-28 14:36:08.569075,opt4,4,0.01,0.09775996208190918
2018-02-28 14:36:09.267236,opt5,4,0.01,0.6971049308776855
2018-02-28 14:36:37.758178,opt6,4,0.01,28.489843130111694
2018-02-28 14:36:38.010150,opt2,4,0.01,0.2481520175933838
2018-02-28 14:36:38.050644,opt3,4,0.01,0.0393528938293457
2018-02-28 14:36:38.156188,opt4,4,0.01,0.10446810722351074
2018-02-28 14:36:38.858177,opt5,4,0.01,0.7009789943695068
2018-02-28 14:37:21.507819,opt6,4,0.01,42.648566007614136
2018-02-28 14:37:21.747004,opt2,4,0.01,0.23539400100708008
2018-02-28 14:37:21.803725,opt3,4,0.01,0.05547809600830078
2018-02-28 14:37:21.907865,opt4,4,0.01,0.10295891761779785
2018-02-28 14:37:22.598475,opt5,4,0.01,0.6893730163574219
2018-02-28 14:37:58.001345,opt6,4,0.01,35.40158295631409
2018-02-28 14:37:58.260834,opt2,4,0.01,0.2552921772003174
2018-02-28 14:37:58.308412,opt3,4,0.01,0.04642295837402344
2018-02-28 14:37:58.430321,opt4,4,0.01,0.1208350658416748
2018-02-28 14:37:59.166509,opt5,4,0.01,0.7352268695831299
2018-02-28 14:38:33.273554,opt6,4,0.01,34.10591101646423
2018-02-28 14:38:33.581966,opt2,4,0.01,0.3032259941101074
